Animal ID;Name;DateTime;Found Location;Intake Type;Intake Condition;Animal Type;Sex upon Intake;Age upon Intake;Breed;Color
A794268;*Gabrielle;05/06/2019 11:07:00 AM;9020 Tuscany Way in Manor (TX);Stray;Normal;Dog;Intact Female;9 months;Labrador Retriever Mix;Black/White
A822389;Woodrows;09/01/2020 04:50:00 PM;5320 Bee Caves Road in Austin (TX);Stray;Normal;Dog;Neutered Male;15 years;Shih Tzu;Gray/White
A811307;Knight;12/31/2019 05:07:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;2 years;Anatol Shepherd Mix;Brown/Tricolor
A811216;Lady;12/30/2019 11:39:00 AM;208 Pecan Drive in Austin (TX);Stray;Normal;Dog;Intact Female;15 years;Pomeranian;Tan
A794054;;05/03/2019 01:21:00 PM;9712 Eastwend in Austin (TX);Stray;Normal;Cat;Intact Male;2 months;Domestic Longhair Mix;Blue Tabby
A787814;Wrinkles;01/20/2019 02:29:00 PM;Pflugerville (TX);Owner Surrender;Normal;Dog;Neutered Male;11 years;English Bulldog/Mastiff;Brown Brindle/White
A706234;Jewel;02/06/2020 12:03:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;4 years;Domestic Shorthair Mix;Torbie
A788001;Marlina;01/24/2019 02:31:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;7 years;Labrador Retriever;Black/White
A802046;;08/13/2019 12:48:00 PM;8128 North Interstate Highway 35 in Austin (TX);Stray;Normal;Cat;Spayed Female;3 months;Domestic Shorthair;Blue Tabby/White
A812948;;02/15/2020 04:50:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Neutered Male;4 months;Boxer Mix;Brown/Tricolor
A811607;Hunter;01/06/2020 02:20:00 PM;310 East Rundberg Lane in Austin (TX);Stray;Normal;Dog;Intact Male;4 years;German Shepherd;Black/Brown
A791851;Jerry;04/01/2019 06:20:00 PM;Austin (TX);Stray;Normal;Cat;Neutered Male;2 years;Domestic Shorthair Mix;White/Blue
A790194;;03/06/2019 12:31:00 PM;4131 Spicewood Springs Rd in Austin (TX);Euthanasia Request;Sick;Other;Unknown;2 years;Raccoon Mix;Gray
A794329;;05/11/2019 12:13:00 PM;13803 Thermal in Austin (TX);Stray;Sick;Cat;Intact Male;2 years;Domestic Medium Hair Mix;Black/White
A812142;Bruce;01/16/2020 04:39:00 PM;7601 Dixie Drive in Austin (TX);Stray;Normal;Dog;Neutered Male;8 years;Leonberger Mix;Tan
A797811;Sherlock;06/19/2019 03:55:00 PM;Austin (TX);Public Assist;Normal;Cat;Neutered Male;5 years;Domestic Shorthair;Black
A813341;;02/08/2020 12:37:00 PM;1401 Sahara Drive in Austin (TX);Stray;Sick;Cat;Intact Female;10 years;Domestic Shorthair Mix;Calico
A823383;*Floki;09/22/2020 05:39:00 PM;Travis (TX);Owner Surrender;Normal;Cat;Intact Male;2 months;Domestic Shorthair;Cream Tabby
A796992;*Serena;06/08/2019 10:57:00 AM;Mlk And Airport in Austin (TX);Stray;Normal;Dog;Intact Female;4 months;Anatol Shepherd;Tan/White
A807469;;10/25/2019 01:48:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Brown Tabby
A793685;Hogan;05/01/2019 05:03:00 PM;Austin (TX);Public Assist;Normal;Dog;Neutered Male;1 year;Labrador Retriever;White/Tan
A806446;;10/11/2019 10:17:00 AM;Mckinney Falls Parkway And Us 183 North in Austin (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Medium Hair;Black
A800904;;07/28/2019 03:33:00 PM;508 Springdale in Austin (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Blue/White
A822525;*Rebecca;09/04/2020 12:06:00 PM;1148 Airport in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair;Black
A819427;;06/29/2020 08:23:00 AM;Highway 71 in Austin (TX);Stray;Injured;Dog;Intact Female;1 month;Chihuahua Shorthair;Tan
A799830;Thumper;07/12/2019 01:12:00 PM;9900 South Iinterstate Highway-35 Service Road South Bound in Austin (TX);Stray;Normal;Dog;Intact Female;2 months;German Shepherd;Tan/Black
A807151;;10/21/2019 12:55:00 PM;807 West Live Oak in Austin (TX);Stray;Normal;Cat;Intact Male;2 months;Domestic Medium Hair;White/Orange Tabby
A788618;;02/05/2019 05:03:00 PM;4200 Smith School Road in Austin (TX);Stray;Normal;Cat;Intact Male;9 months;Domestic Medium Hair Mix;Blue/White
A822520;;09/04/2020 11:49:00 AM;1705 Frontier Valley Dr in Austin (TX);Stray;Normal;Cat;Unknown;3 days;Domestic Shorthair;Brown
A792699;;04/14/2019 12:23:00 PM;2018 West Rundberg Lane in Austin (TX);Stray;Normal;Cat;Intact Female;3 months;Domestic Shorthair Mix;Brown Tabby
A797014;;06/08/2019 12:27:00 PM;Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Longhair;Orange Tabby
A788981;Chubby;02/12/2019 05:49:00 PM;6200 Loyola in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Chihuahua Longhair/Pomeranian;Red/White
A789425;;02/21/2019 02:42:00 PM;Austin (TX);Owner Surrender;Normal;Other;Unknown;4 weeks;Mouse Mix;Chocolate
A808841;Benster;11/14/2019 02:50:00 PM;13005 Heinemann Drive in Austin (TX);Stray;Normal;Cat;Neutered Male;8 years;Domestic Longhair;Orange Tabby/White
A787800;Maybelle;01/20/2019 10:45:00 AM;7920 San Felipe Boulevard in Austin (TX);Stray;Normal;Dog;Spayed Female;3 years;Australian Cattle Dog Mix;Black/White
A808303;;11/07/2019 11:13:00 AM;5202 Nuckols Crossing Road in Austin (TX);Stray;Normal;Cat;Intact Female;8 months;Domestic Shorthair;White/Brown Tabby
A809282;;11/22/2019 11:37:00 AM;600 Blackberry Drive in Austin (TX);Stray;Normal;Cat;Unknown;4 months;Domestic Shorthair;Brown Tabby
A773212;Rain;01/30/2019 11:06:00 AM;12370 Alameda Trace Circle in Austin (TX);Public Assist;Normal;Dog;Spayed Female;3 years;German Shepherd Mix;Black/Tan
A792242;;04/08/2019 01:08:00 PM;Lightsey Road in Austin (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Brown Tabby
A798151;;06/22/2019 12:03:00 PM;38Th Street And Lamar Boulevard in Austin (TX);Stray;Normal;Dog;Intact Female;2 years;Dachshund;Black Brindle
A787480;King;01/14/2019 11:40:00 AM;Travis (TX);Owner Surrender;Normal;Dog;Intact Male;2 years;Pit Bull Mix;Brown Brindle
A821269;*Sammie;08/07/2020 11:47:00 AM;Austin (TX);Owner Surrender;Normal;Cat;Intact Female;1 month;Domestic Shorthair Mix;Orange Tabby
A795306;;05/19/2019 11:52:00 AM;East Howard Lane And Dessau Road in Austin (TX);Stray;Normal;Dog;Intact Male;1 month;German Shepherd/Australian Shepherd;Tan/Black
A795991;Gary;05/27/2019 12:51:00 PM;Domain Drive in Austin (TX);Stray;Normal;Cat;Intact Male;2 months;Domestic Shorthair Mix;Brown Tabby
A808649;;11/11/2019 04:07:00 PM;1449 Bardbury Lane in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Brown Tabby
A795377;Rocky;05/20/2019 10:28:00 AM;Freedom Hill Lane And Clara Martin Road in Travis (TX);Stray;Normal;Dog;Intact Male;1 year;Pit Bull;Cream/White
A805696;*Mongo;09/30/2019 07:05:00 PM;4700 Staggerbrush Road in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Black
A806809;;10/15/2019 06:08:00 PM;Austin (TX);Wildlife;Injured;Bird;Unknown;1 year;Grackle;Black
A790243;;03/06/2019 05:48:00 PM;2605 Parker Lane in Austin (TX);Stray;Normal;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Brown Tabby
A794817;Kitkat;05/12/2019 03:09:00 PM;Ferrystone Glen Drive in Austin (TX);Stray;Normal;Dog;Neutered Male;1 year;Miniature Schnauzer Mix;Black/Tan
A803919;*Larry;09/08/2019 01:58:00 PM;7630 Wood Hollow Drive in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair;Brown Tabby/White
A816795;*Ketchup;04/28/2020 11:27:00 AM;18701  River Timber Dr in Travis (TX);Stray;Normal;Dog;Neutered Male;2 years;German Shepherd;Brown
A811840;Minnie;01/10/2020 02:03:00 PM;Austin (TX);Owner Surrender;Normal;Other;Intact Female;1 year;Mouse;White/Black
A799530;;07/09/2019 05:18:00 PM;5800 Techni Center Dr in Austin (TX);Stray;Normal;Other;Unknown;1 year;Guinea Pig;Tricolor
A808382;;11/07/2019 11:16:00 PM;4805 Munson St in Austin (TX);Stray;Sick;Cat;Intact Male;5 years;Domestic Shorthair;Orange Tabby
A824215;;10/08/2020 04:20:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Female;3 months;Siamese;Tortie Point
A800876;;07/28/2019 12:10:00 PM;23081 Namless Road in Leander (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair;Black/White
A800736;;07/25/2019 06:58:00 PM;23004 Webberville in Austin (TX);Stray;Normal;Cat;Intact Male;3 years;Domestic Shorthair;White/Black Tabby
A804059;;09/10/2019 11:39:00 AM;Slaughter Lane And Ih 35 in Austin (TX);Stray;Normal;Dog;Intact Male;2 months;Boston Terrier Mix;White/Black
A793445;Canela;04/25/2019 12:05:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;2 years;Labrador Retriever Mix;Tan/White
A787289;Grendel;01/10/2019 03:51:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Male;10 months;Domestic Shorthair Mix;Black
A811067;Ollie;12/27/2019 01:00:00 PM;7601 Daffan Lane in Austin (TX);Stray;Normal;Dog;Intact Male;1 year;Chihuahua Shorthair/Wire Hair Fox Terrier;Black/White
A788056;Sydney;01/25/2019 02:02:00 PM;10807 Thaxton Road in Austin (TX);Stray;Normal;Dog;Spayed Female;1 year;Labrador Retriever Mix;Black/White
A772933;Baby;06/09/2020 08:25:00 PM;7904 Persimmon Trail in Austin (TX);Public Assist;Normal;Dog;Spayed Female;3 years;Chihuahua Shorthair;Tan/White
A811430;;01/03/2020 12:58:00 PM;412 Hackberry Lane in Austin (TX);Stray;Normal;Dog;Intact Female;2 months;Pit Bull;Gray/White
A804403;*Pumpkin;09/14/2019 12:22:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair Mix;Orange Tabby/White
A814506;Roky;03/01/2020 12:15:00 PM;12108 Briarcreek Loop in Manor (TX);Stray;Normal;Dog;Intact Male;2 years;Miniature Poodle Mix;White
A800847;Cyrus;07/28/2019 12:45:00 AM;12761 Council Bluff Dr in Austin (TX);Stray;Normal;Dog;Neutered Male;2 years;Pit Bull;Blue/White
A791451;Sully;03/27/2019 12:34:00 PM;Austin (TX);Public Assist;Normal;Dog;Neutered Male;2 years;Alaskan Husky Mix;White
A814317;Kona;02/27/2020 04:47:00 PM;2001 Bastrop Highway in Travis (TX);Stray;Normal;Dog;Intact Female;2 months;Labrador Retriever/Pit Bull;White/Black
A625459;Tanner;03/04/2019 03:15:00 PM;Austin (TX);Public Assist;Normal;Dog;Neutered Male;7 years;Black Mouth Cur/Anatol Shepherd;Brown/White
A657251;Checkers;06/05/2019 03:30:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;6 years;Australian Shepherd/Labrador Retriever;Brown Merle/White
A796658;;06/04/2019 07:37:00 AM;Austin (TX);Stray;Nursing;Dog;Intact Female;3 days;American Staffordshire Terrier Mix;Sable/White
A801002;;07/29/2019 08:04:00 PM;2850 Lakeline Blvd in Austin (TX);Public Assist;Normal;Other;Unknown;1 year;Bat;Brown
A793874;*Chester;05/01/2019 12:22:00 PM;Pearce Lane in Travis (TX);Stray;Normal;Cat;Intact Male;2 years;Domestic Shorthair Mix;Orange Tabby/White
A746795;Emi;03/24/2019 01:49:00 PM;Lago Vista (TX);Owner Surrender;Normal;Dog;Spayed Female;2 years;Belgian Malinois/Great Pyrenees;Brown/Black
A812309;Popis;01/19/2020 03:14:00 PM;Basket Flower Bend And Starbrimson Trail in Travis (TX);Stray;Normal;Dog;Intact Female;6 years;Golden Retriever Mix;Red/White
A823815;Boss;09/30/2020 07:07:00 PM;5812 N Ih 35 in Austin (TX);Abandoned;Normal;Dog;Intact Male;1 year;Pit Bull;Brown
A820893;;07/31/2020 12:22:00 PM;5405 Merrywing Circle in Austin (TX);Stray;Normal;Cat;Intact Male;5 months;Domestic Shorthair Mix;Blue Tabby
A801805;;08/09/2019 01:35:00 PM;4507 Silverhill in Leander (TX);Wildlife;Sick;Other;Unknown;5 months;Coyote;Brown
A822657;;09/07/2020 06:02:00 PM;6207 Saddler Lane in Austin (TX);Stray;Injured;Cat;Unknown;4 weeks;Domestic Shorthair;Gray Tabby/White
A794639;;05/10/2019 01:35:00 PM;1054 Springdale Rd in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Blue Tabby
A789793;Harvey;02/28/2019 02:40:00 PM;Austin (TX);Public Assist;Normal;Dog;Neutered Male;1 year;Chihuahua Shorthair Mix;Brown
A819686;Nix;07/03/2020 08:12:00 AM;13500 Elm in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Queensland Heeler;Blue Merle/White
A818848;*Tabby;06/16/2020 12:38:00 PM;Austin (TX);Stray;Normal;Cat;Intact Female;3 months;Domestic Shorthair;Brown Tabby
A823298;;09/20/2020 07:10:00 PM;Austin (TX);Abandoned;Medical;Dog;Intact Female;2 months;Great Pyrenees;White
A797253;;06/11/2019 12:37:00 PM;Wilmes And Guadalupe in Austin (TX);Stray;Normal;Cat;Intact Female;3 months;Domestic Shorthair;Brown Tabby
A790498;Nala;03/11/2019 02:49:00 PM;9808 Middle Fiskville Road in Austin (TX);Owner Surrender;Normal;Dog;Intact Female;8 years;Chinese Sharpei Mix;Brown
A818334;;06/05/2020 03:22:00 PM;5720 Palo Blanco Lane in Austin (TX);Stray;Normal;Other;Intact Male;2 years;Guinea Pig;White/Tan
A794660;Abbey;05/10/2019 03:25:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;14 years;Jack Russell Terrier;White/Brown
A792575;Macy;04/12/2019 12:37:00 PM;11202 Georgian Drive in Austin (TX);Stray;Normal;Dog;Intact Female;3 years;Standard Poodle Mix;White
A814896;;03/08/2020 11:21:00 AM;11318 Stormy Ridge in Austin (TX);Stray;Normal;Cat;Intact Female;3 years;Domestic Medium Hair;Tortie
A797979;;06/19/2019 05:22:00 PM;Unknown in Austin (TX);Stray;Normal;Dog;Intact Male;1 month;Jack Russell Terrier;White/Brown
A794419;;05/08/2019 10:31:00 AM;5701 Johnny Morris Road in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Orange Tabby
A763054;Delila;01/09/2019 02:52:00 PM;Bantom Woods Bend in Austin (TX);Stray;Normal;Dog;Intact Female;2 years;Pit Bull Mix;Blue/White
A796069;*Garnet;05/28/2019 01:13:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;4 weeks;Chihuahua Shorthair/Dachshund;White/Tricolor
A811944;*Greycie;01/12/2020 05:03:00 PM;6303 Tara Drive in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair Mix;Brown Tabby
A798952;Toast;07/02/2019 01:00:00 PM;Pflugerville (TX);Owner Surrender;Normal;Cat;Spayed Female;2 years;Domestic Shorthair Mix;Calico
A814423;Finn;02/29/2020 09:05:00 AM;William Cannon And Bannockburn Dr in Austin (TX);Stray;Normal;Dog;Intact Male;1 year;Labrador Retriever/Standard Poodle;White/Black
A801199;Nieve;08/01/2019 12:06:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;6 months;Siberian Husky Mix;Cream
A805243;;09/24/2019 01:46:00 PM;3809 South Congress in Austin (TX);Stray;Injured;Cat;Intact Male;2 months;Domestic Shorthair;Orange Tabby/Brown
A819128;;06/22/2020 02:45:00 PM;Austin (TX);Stray;Normal;Dog;Intact Female;2 years;German Shepherd/Cardigan Welsh Corgi;Tan/White
A814212;*Percy;02/25/2020 08:23:00 PM;2004 Covered Wagon Pass in Austin (TX);Stray;Normal;Dog;Neutered Male;12 years;Miniature Poodle;White
A797666;*Will;06/16/2019 12:30:00 PM;Pflugerville (TX);Owner Surrender;Normal;Cat;Intact Male;4 weeks;Domestic Medium Hair Mix;Black
A739297;Mycah;07/25/2020 04:33:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;3 years;Pit Bull Mix;Black/White
A821235;;08/06/2020 05:18:00 PM;4715 Harmon Avenue in Austin (TX);Stray;Normal;Other;Neutered Male;2 years;Ferret;Sable/White
A810248;;12/09/2019 06:08:00 PM;9825 Childress Drive in Austin (TX);Stray;Normal;Other;Unknown;6 months;Guinea Pig;Brown/Tricolor
A812523;;01/23/2020 05:18:00 PM;1506 Estrellas Drive in Travis (TX);Stray;Normal;Dog;Intact Male;1 month;Wire Hair Fox Terrier;White
A795225;*Coco;05/17/2019 06:58:00 PM;13150 Four Star Boulevard in Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;1 year;Domestic Shorthair;Black
A825776;;11/12/2020 11:25:00 AM;5200 Turnersville Road in Travis (TX);Stray;Normal;Dog;Intact Male;3 months;Great Pyrenees Mix;Brown Brindle/White
A806381;;10/09/2019 06:24:00 PM;2306 West Howard Lane in Austin (TX);Stray;Normal;Dog;Intact Male;3 years;Siberian Husky;Black/White
A801534;;08/05/2019 04:06:00 PM;North Lamar Boulevard And Airport Boulevard in Austin (TX);Stray;Normal;Dog;Intact Male;2 months;Labrador Retriever;Cream
A798523;Gia;12/16/2019 05:28:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;1 year;Australian Cattle Dog;Red/White
A821149;*Moonpie;08/05/2020 11:05:00 AM;6824 Horseshoe Pond in Travis (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Black
A805332;;09/25/2019 03:33:00 PM;12418 Fitzhugh Road in Austin (TX);Stray;Normal;Cat;Intact Male;3 weeks;Domestic Shorthair;Cream Tabby
A818040;*Emma;05/31/2020 06:08:00 PM;1501 Cloverleaf in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair;Torbie/White
A812197;Junai;01/22/2020 04:33:00 PM;4918 Fm 1327 in Travis (TX);Stray;Normal;Dog;Intact Female;1 year;Australian Kelpie Mix;Brown/White
A799029;*Cara;07/03/2019 12:50:00 PM;Ih 35 And St John in Austin (TX);Stray;Normal;Cat;Intact Female;2 years;Domestic Shorthair;Orange Tabby
A794451;Lynnox;05/08/2019 01:35:00 PM;11282 Taylor Draper Lane in Austin (TX);Stray;Normal;Dog;Spayed Female;1 year;Australian Cattle Dog;Red Tick
A805330;;09/25/2019 03:33:00 PM;12418 Fitzhugh Road in Austin (TX);Stray;Normal;Cat;Intact Female;3 weeks;Domestic Shorthair;Blue
A822823;;09/10/2020 11:15:00 AM;5204 Mathra Drive in Travis (TX);Stray;Normal;Dog;Intact Male;2 months;Great Pyrenees/Pointer;White/Black
A791389;;03/25/2019 11:27:00 AM;Burleson Road And South Highway 183 in Travis (TX);Stray;Normal;Dog;Intact Male;4 years;Standard Schnauzer;Black/Silver
A798311;;06/24/2019 01:46:00 PM;13923 Conner Downs in Pflugerville (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair Mix;Cream Tabby
A821923;;08/22/2020 10:32:00 PM;603 48Th St in Austin (TX);Wildlife;Normal;Other;Unknown;3 days;Opossum;Gray/Gray
A797999;;06/20/2019 09:34:00 AM;6506 Bolm Rd in Austin (TX);Wildlife;Sick;Other;Unknown;1 year;Bat;Black
A801901;Popcorn;08/11/2019 12:06:00 PM;Austin (TX);Owner Surrender;Normal;Other;Intact Female;3 years;Guinea Pig;White/Tan
A693871;Ella;10/31/2019 03:35:00 PM;8504 Panadero Dr in Austin (TX);Stray;Normal;Dog;Spayed Female;5 years;Labrador Retriever Mix;Fawn
A800763;*Patches;07/26/2019 12:53:00 PM;1602 Peridot Road in Pflugerville (TX);Stray;Normal;Cat;Intact Female;4 weeks;Domestic Shorthair;Calico
A800203;;07/17/2019 06:23:00 PM;2207 Wickersham Lane in Austin (TX);Stray;Normal;Cat;Neutered Male;2 years;Siamese;Seal Point/White
A812538;*Bernard;01/24/2020 11:30:00 AM;1212 Vargas Road in Austin (TX);Stray;Normal;Dog;Intact Male;3 years;Pit Bull;Brown/White
A810573;;12/16/2019 07:40:00 AM;12034 Research Blvd in Austin (TX);Stray;Normal;Cat;Intact Female;2 months;Domestic Shorthair;Gray
A790452;;03/10/2019 04:49:00 PM;6800 Mcneil Dr in Austin (TX);Wildlife;Normal;Other;Unknown;2 years;Bat Mix;Brown
A800152;;07/17/2019 08:46:00 AM;2010 E 6Th St in Austin (TX);Stray;Injured;Cat;Intact Male;2 years;Domestic Shorthair;Brown Tiger
A822006;*Flower;08/24/2020 02:21:00 PM;928 Peggotty Place in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Border Collie Mix;Cream
A806922;*Pumpkin;10/17/2019 05:51:00 PM;6201 Homestead Trail in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Orange
A791342;Jimmy;03/26/2019 06:49:00 PM;Travis (TX);Public Assist;Normal;Dog;Intact Male;2 years;German Shepherd Mix;Brown/Black
A790075;;03/04/2019 02:40:00 PM;5816 Van Winkle Drive in Austin (TX);Stray;Normal;Dog;Intact Male;1 year;Labrador Retriever;Black
A820699;Blu;07/26/2020 03:04:00 PM;8300 Solis Pl in Travis (TX);Stray;Normal;Dog;Intact Female;2 years;Miniature Schnauzer Mix;Black
A810980;Bruno;12/23/2019 05:40:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;1 year;Weimaraner;Tan/White
A820053;Maggie;07/10/2020 03:33:00 PM;Littig Road And Ballerstedt Road in Travis (TX);Stray;Normal;Dog;Intact Female;4 months;Labrador Retriever Mix;Brown
A786815;*Pilot;01/02/2019 01:39:00 PM;Dessau Road And East Applegate Drive in Austin (TX);Stray;Normal;Dog;Intact Male;3 years;Akita/German Shepherd;Tricolor/Brown
A796967;;06/07/2019 04:54:00 PM;6012 Jacqueline in Austin (TX);Stray;Normal;Dog;Unknown;1 week;Labrador Retriever Mix;Black/White
A802044;Maverick;08/13/2019 12:36:00 PM;1601 South Ih 35 Hwy in Austin (TX);Stray;Normal;Dog;Neutered Male;2 years;Pit Bull;White/Black
A789149;;02/15/2019 07:02:00 PM;2200 South Pleasant Valley in Austin (TX);Stray;Normal;Cat;Intact Female;4 months;Manx Mix;Black/White
A824457;;10/14/2020 10:17:00 PM;4911 Scaredale Dr in Austin (TX);Wildlife;Injured;Other;Unknown;2 years;Bat;Brown/Brown
A806638;;10/13/2019 04:05:00 PM;8511 Forest Heights Lane in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Medium Hair;Black
A809679;;11/29/2019 12:55:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;1 month;Australian Cattle Dog/German Shepherd;Brown/Tricolor
A820671;;07/25/2020 03:21:00 PM;9029 Research Blvd in Austin (TX);Stray;Injured;Cat;Intact Male;1 month;Domestic Shorthair;Black
A788296;;01/30/2019 10:31:00 AM;Manor (TX);Stray;Nursing;Dog;Intact Female;0 years;Labrador Retriever Mix;Tricolor
A802905;*Fitz;08/24/2019 01:53:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Male;4 months;Domestic Shorthair Mix;Orange Tabby
A795474;;05/21/2019 10:23:00 AM;Burleson Road And Mckinney Falls Parkway in Austin (TX);Stray;Normal;Dog;Intact Female;4 years;Chihuahua Shorthair;Black/Brown
A796519;;06/02/2019 02:47:00 PM;4914 Canella in Austin (TX);Stray;Normal;Dog;Intact Male;1 month;German Shepherd Mix;Tricolor/Brown
A787760;Beverly;01/19/2019 04:03:00 PM;5400 Friedrich Ln in Austin (TX);Owner Surrender;Other;Cat;Intact Female;2 years;Siamese Mix;Tortie Point
A808089;100 Grams;11/04/2019 07:32:00 AM;4434 Frontier Trail in Austin (TX);Stray;Normal;Cat;Intact Female;2 days;Domestic Shorthair;Torbie
A795013;*George;05/15/2019 10:16:00 AM;10819 Crown Colony in Austin (TX);Stray;Normal;Cat;Intact Male;2 months;Domestic Shorthair;Brown Tabby/White
A793724;;04/29/2019 11:13:00 AM;5205 Hudson Bend Rd in Austin (TX);Stray;Nursing;Cat;Intact Female;1 week;Domestic Shorthair Mix;Brown Tabby
A804335;;09/13/2019 01:09:00 PM;Austin (TX);Wildlife;Normal;Other;Unknown;1 year;Bat;Brown
A498745;Peeps;08/31/2020 07:46:00 AM;Vargas St in Austin (TX);Stray;Injured;Dog;Spayed Female;23 years;Wolf Hybrid Mix;White/Gray
A796631;*Jack;06/03/2019 04:50:00 PM;7000 Decker Lane in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Orange Tabby
A789086;*Herman;02/14/2019 03:02:00 PM;Austin (TX);Stray;Normal;Cat;Intact Male;5 months;Domestic Medium Hair Mix;Black
A807836;Oreo;10/30/2019 06:49:00 PM;9807 Fm 620 in Austin (TX);Stray;Normal;Cat;Intact Male;2 years;Domestic Shorthair Mix;Black/White
A802208;*Opie;08/15/2019 12:17:00 PM;7504 West Rim Drive in Austin (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Medium Hair;Orange Tabby
A804601;Woody;09/16/2019 12:44:00 PM;Travis (TX);Owner Surrender;Normal;Cat;Neutered Male;8 years;Siamese;Lynx Point
A811704;Daryl;01/09/2020 01:33:00 PM;Austin (TX);Public Assist;Normal;Cat;Neutered Male;2 years;Siamese;Seal Point
A761975;Molly;03/28/2019 04:19:00 PM;Orland in Austin (TX);Stray;Normal;Dog;Spayed Female;6 years;Staffordshire Mix;Blue Cream/White
A793662;;04/28/2019 12:29:00 PM;Brodie Lane in Austin (TX);Stray;Nursing;Cat;Intact Female;1 week;Domestic Shorthair Mix;Blue Tabby
A811104;Mccord;12/28/2019 08:58:00 AM;7700 Ben White And Riverside in Austin (TX);Stray;Injured;Dog;Neutered Male;2 years;Black Mouth Cur;Brown/Brown
A787716;*Alexandra;01/18/2019 04:35:00 PM;Water St in Travis (TX);Stray;Normal;Dog;Intact Female;2 years;German Shepherd Mix;Black/Brown
A824454;Warhol;10/14/2020 05:41:00 PM;Manor (TX);Owner Surrender;Normal;Dog;Spayed Female;7 months;Catahoula Mix;Brown/White
A772668;Peaches;03/15/2019 11:14:00 AM;500 W William Cannon in Austin (TX);Stray;Normal;Dog;Spayed Female;1 year;Dalmatian/Staffordshire;White/Black
A824622;;10/19/2020 11:52:00 AM;3708 Tower View Court in Austin (TX);Stray;Normal;Cat;Intact Female;2 years;Domestic Shorthair;Calico
A793079;*Holden;04/19/2019 11:51:00 AM;5210 Manor Road in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair Mix;Black
A811283;*Tanner;12/31/2019 02:53:00 PM;6911 Wentworth Drive in Austin (TX);Stray;Nursing;Dog;Intact Male;2 days;Labrador Retriever/Border Collie;White
A803261;;08/29/2019 06:34:00 PM;10513 La Costa Drive in Austin (TX);Stray;Normal;Cat;Intact Female;2 months;Domestic Shorthair;Black
A823637;;09/28/2020 08:01:00 AM;Riverside And Wickersham in Austin (TX);Stray;Injured;Dog;Intact Female;2 years;Golden Retriever;Gold
A737685;Rubi;08/29/2019 11:12:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;8 years;Cairn Terrier Mix;Tan
