Animal ID;Name;DateTime;Found Location;Intake Type;Intake Condition;Animal Type;Sex upon Intake;Age upon Intake;Breed;Color
A833329;;04/28/2021 10:55:00 AM;2421 Chateau Village Way in Austin (TX);Stray;Nursing;Cat;Intact Male;2 weeks;Domestic Shorthair;Blue/White
A830653;*Topaz;03/13/2021 12:34:00 PM;1900 East Howard Lane in Travis (TX);Stray;Injured;Dog;Intact Female;2 years;Doberman Pinsch Mix;Black/Brown
A833330;;04/28/2021 10:55:00 AM;2421 Chateau Village Way in Austin (TX);Stray;Nursing;Cat;Intact Male;2 weeks;Domestic Shorthair;Black
A832733;Delilah;04/19/2021 09:29:00 AM;1215 West Slaughter Lane in Austin (TX);Stray;Normal;Dog;Intact Female;7 months;Anatol Shepherd/American Bulldog;White/Brown Brindle
A831516;Boogie Bear;04/28/2021 11:36:00 AM;46Th And Airport in Austin (TX);Stray;Normal;Dog;Intact Male;5 months;German Shepherd/Labrador Retriever;White
A832452;Poe;04/13/2021 05:05:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;7 months;Boxer/Pug;Brown Brindle/White
A833340;;04/28/2021 11:59:00 AM;Old San Antonio Road in Travis (TX);Stray;Normal;Other;Unknown;2 years;Rabbit Sh;Orange/White
A832864;*Boone;04/20/2021 05:31:00 PM;1201 East Rundberg in Austin (TX);Stray;Normal;Dog;Intact Male;3 months;Redbone Hound Mix;Red/Black
A831817;*Zelda;04/02/2021 12:52:00 PM;9211 Mckenzie Road in Travis (TX);Stray;Injured;Dog;Intact Female;3 months;Great Pyrenees Mix;Brown Brindle
A832964;Rock;04/21/2021 04:35:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;1 year;Australian Cattle Dog/Pit Bull;Black/White
A833321;Jax;04/28/2021 11:32:00 AM;14000 Big Sandy Cove in Travis (TX);Owner Surrender;Normal;Dog;Intact Male;6 months;German Shepherd;Brown Brindle
A832243;Luna;04/15/2021 01:15:00 PM;8100 North Mopac Expressway in Austin (TX);Stray;Normal;Dog;Spayed Female;1 year;Labrador Retriever/German Shepherd;Brown/White
A833139;*Daffodil;04/24/2021 03:24:00 PM;1501 East Howard Lane in Austin (TX);Stray;Normal;Dog;Intact Female;5 months;Pit Bull;White/Black
A832903;*Moose Tracks;04/21/2021 01:09:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Intact Male;2 months;Anatol Shepherd Mix;Tan
A832900;*Cookie Dough;04/21/2021 01:09:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Intact Female;2 months;Anatol Shepherd Mix;Tricolor
A833356;Misty;04/28/2021 03:04:00 PM;Austin (TX);Owner Surrender;Sick;Cat;Spayed Female;16 years;Domestic Medium Hair;Calico
A772439;Panchita;04/25/2021 08:12:00 PM;9309 Mosswood in Austin (TX);Stray;Normal;Cat;Spayed Female;3 years;Domestic Shorthair Mix;Torbie
A713025;Ducky;04/28/2021 03:45:00 PM;Purple Sage in Austin (TX);Stray;Injured;Dog;Intact Male;7 years;Boxer;Brown/Black
